GEOID,State,County,Population,EJ indexes above 80th percentile,DEMOGIDX_2,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,P_DEMOGIDX_2,P_PM25,P_OZONE,P_DSLPM,P_PTRAF,P_NO2,P_LIFEEXPPCT
06001409600,California,Alameda County,5139,9,3.2519,0.9665,0.6071,0.0911,0.0985,0.0525,0.2329,0.0597,0.1008,0.2277,11.326,50.758,0.262,407.554,4127123.502,0.5823,0.045,0.28,8.977,0,0,10.323,0,95,91,2,78,88,77,80
06001409700,California,Alameda County,5240,8,3.0969,0.9191,0.579,0.0774,0.1332,0.0467,0.2003,0.0725,0.0716,0.2523,11.346,51.04,0.262,394.203,4072854.729,0.5429,0,0.244,7.736,0,0,9.915,0,94,91,3,78,88,74,91
06001409800,California,Alameda County,3511,4,1.8315,0.824,0.1707,0.0682,0.0912,0,0.095,0.0544,0.1094,0.1692,11.367,51.631,0.187,380.561,4651553.062,0.6546,0,0.207,6.848,0,0,8.222,0,69,91,5,60,90,58,25
06001409900,California,Alameda County,3983,1,1.5842,0.7675,0.1141,0.0342,0.0804,0.0035,0.0291,0.0354,0.2342,0.1467,11.411,52.956,0.172,366.576,3650729.728,0.5069,0,0.158,5.203,0,0,5.966,0,61,91,11,55,86,34,10
06001410000,California,Alameda County,3177,0,1.3717,0.6733,0.0935,0.0557,0.1457,0.0113,0.0798,0.0907,0.3229,0.1621,11.4,53.225,0.175,371.824,4161902.106,0.5874,0,0.188,6.491,0,0,6.109,0,52,91,13,56,89,36,19
06001410100,California,Alameda County,3172,4,2.2651,0.9023,0.2826,0.058,0.1343,0.0376,0.0913,0.0776,0.1334,0.2164,11.367,51.707,0.18,398.671,5462341.668,0.5454,0,0.24,7.145,0,0,8.045,0,79,91,5,58,92,56,71
06001410200,California,Alameda County,3238,5,2.3602,0.8941,0.3227,0.031,0.0927,0.0389,0.2245,0.0815,0.1177,0.2451,11.349,51.553,0.241,410.473,4534212.14,0.6493,0,0.262,7.338,0,0,8.125,0,81,91,5,74,90,57,89
06001410300,California,Alameda County,3893,8,2.8826,0.9797,0.4629,0.0963,0.067,0.1477,0.3638,0.073,0.0416,0.2256,11.334,51.037,0.262,431.985,4415554.204,0.6155,0,0.308,8.191,0,0,8.816,0,91,91,3,78,90,64,78
06001410400,California,Alameda County,4687,5,2.4921,0.9535,0.335,0.0332,0.128,0.1145,0.2168,0.0653,0.1214,0.1928,11.336,51.279,0.262,461.379,4241297.071,0.5653,0,0.318,8.09,0,0,7.94,0,84,91,4,78,89,55,49
06001410500,California,Alameda County,3081,8,2.7266,0.7851,0.5245,0.1122,0.1727,0.0339,0.1002,0.0828,0.1029,0.2585,10.982,46.199,0.307,521.866,8385911.42,0.4937,2.403,0.175,17.864,0,0,11.743,0,88,90,0,84,97,86,93
